가게명,카테고리,주소,리뷰
최사장네닭,"백숙,삼계탕",서울 마포구 연남로 4-1,"닭도리백반 시켰어요~ 개인적으로는 많이 먹지 않아서 혼자 먹기 적당했어요~ 특도 있어서 부족하면 특 시키면 될 것 같아요! 반찬도 대체로 맛있었어요~ 닭도리백반 1인분이 된다는게 행복하네요 ㅎㅎ 자리가 넓어서 혼자 먹기도, 단체로와서 먹기도 좋을 것 같아요!
음식이 맛있어요+2
개의 리뷰가 더 있습니다
펼쳐보기"
아현동간장게장,게요리,서울 마포구 굴레방로 13,"욕은 쓸 수 없으니 최대한 순하게 말하겠습니다 ㅎㅎ 18년부터 방송에 방영이 안됐던데 왜 그랬는제 알 것 같은 맛 이었습니다. 한식 밥집에서 밑반찬으로 이렇게 나오면 한입 베어물고 안건들거 같은 정도의 맛이라고 하면 최대한 순하게 말한걸까요? 외국인들에게 유명해져서 손님이 다 외국인 밖에 없던데 이래서 해외 나가면 왜 외국인들 한테 유명한 집은 절대 가지 말라고 하는지 알거같았습니다. 흑백요리사에서 안성재 쉐프님께서 한 참가자의.음식을 맛 보더니 ""이맛은 서울에선 먹을 수 없는 맛이네요"" 라는 말을 했었는데 어떻게 보면 그 말의 의미를 알 것 같기도 한 맛이였어요. 이게 맛있다고 하시면 정말 안타깝습니다...
건강한 맛이에요
이미지 수
1"
만두라,"칼국수,만두",서울 금천구 시흥대로 97,사골국물에 만두라 일품입니다. 국물에 당면도 있어서 좋네요. 통만두도 맛납니다👍🏼
떡도리탕,"떡도리탕, 떡",서울특별시 강남구 테헤란로1길 28-9 1층,웨이팅은 정말 많아요 하지만 음식은 너무 맛있어서 흡입하고 나왔네요 좋아요
구복만두,"만두, 새우만두",서울특별시 용산구 두텁바위로 7,"가게 건물 뒤에 3대 정도 주차공간이 있지만 2층~4층의 사무실 입주차량으로 빌 틈이 거의 없으니 길 건너 민영주차장을 이용하거나 좀 걷기는 하지만 철길 건너편 청파동주민센터 공영주차장을 이용하는 것이 좋을 듯 합니다.

자리에 앉으면 물, 단무지와 함께 얇게 채썬 생강만 올려진 간장종지를 주는데, 여기에 입맛에 맞게 간장과 고추가루, 파를 조합하여 섞어넣고 주문한 만두가 나올때까지 짧게나마 숙성시킵니다.

중국식 만두와 한국식 만두의 콜라보레이션.
육즙이 많은 이집의 중국식 만두인 샤오롱바오를 간장에 찍어 생강과 함께 먹으면 육즙의 느끼함을  잡아주어 아주 좋습니다.
구복전통만두는 교자만두를 아래쪽만 팬에 구워 한쪽면만 바삭하게 구운 것인데, 만두소에는 김치가 들어가 있어 한국식 맛을 느끼게 해줍니다. 

예전보다 가격이 오른 반면 만두 크기는 약간 줄어든 감이 있네요."
을지깐깐,베트남음식,서울 중구 을지로12길 12,"을지로에서 맛있고 유명한 쌀국수 집이러길래 와봤는데 너무 맛있어요😭 새우튀김 소스가 매콤해서 물리지 않고 계속 먹었는데 꼭 사이드 메뉴로 시키세요!!
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
4"
치로 피자바,양식,서울 종로구 새문안로7길 16,"광화문부근 화덕피자 검색하다 우연히 찾아서 저장해놓고 방문했습니다. 저녁시간에는 1인 1음료 주문필수였고 차 종류나 탄산음료도 주문가능했습니다. 리조또의 알덴테 식감이 좋았습니다. 짭쪼롬한 크림소스도 너무 좋았는데 사람에 따라서는 조금 짜다고 느낄 수도 있겠습니다. 피자반죽의 굽기와 쫄깃함도 좋네요. 새우 디아볼라 같은 여러 재료의 피자도 좋지만 기본의 마르게리따가 궁금해집니다. 예약없이 6시 조금 넘어서 방문해서 바로 자리안내받긴했습니다만, 금방 자리가 다 차더라구요. 예약하고 방문하시는걸 추천합니다.
인테리어가 멋져요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
5"
동양,일식당,서울 송파구 양재대로72길 17,"캐치테이블 예약하고 두번째 방문했어요! 지난번에 추천받은 사케는 나베시마 썸머문이었어서 이번엔 하베스트문이나 뉴문 마셔보고 싶었는데 들어오자마자 다 나갔다고..ㅠㅠ 아쉬운 마음에 이소지만 주문했는데.. 왠걸.. 완전 취향저격이었어요! 진짜 맑고 깔끔한 맛이라 술술 들어가더라구요. 지난 번에 방문한 거 기억해주시고 서비스 안주도 내주셔서 넘 맛있게 먹었어요! 지난번에 닭튀김 먹어보니 튀김 맛집이길래 이번에도 닭튀김에 모듬튀김도 시켜봤어요. 기름 깨끗하고 바삭하고 완전 맛있었어요! 다음에 마셔 볼 사케도 기대됩니다!! 아참 이제 콜키지는 안하신다고 해요!
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
4"
쥬에,중식당,서울특별시 용산구 독서당로 124-7,"미쉐린가이드 서울 2024 '쥬에' 런치코스와 디너코스 각 3가지와 채식코스 각 1가지의 메뉴, 그리고 단품메뉴를 판매하고 있다. 이날 점심코스중 중간가격대의 '자작코스'를 주문하여 식사를 즐겼다. 분위기는 깔끔하고 멋진 외관의 건축물과 실내외에 조형물과 소품등으로 고급스러운 분위기를 내어준다. 1층 3테이블정도가 있는 룸으로 자리를 배정받았는데, 자연광과 조용한 분위기가 마음에 들었다. 주류리스트도 다양하고 짱짱하게 준비되어 있는점이 좋았다. 식사는 대체적으로 만족스러웠는데, 코스에 크게 임펙트 있게 다가온 음식은 없어서 조금 아쉬웠으며, 아뮤즈 부쉬로 내어준 음식은 차라리 안주는게 좋을듯하다. 나쁘진 않았지만, 같은 가격대에 선택지가 너무 많기에 재방문은 없을듯하다.
아늑해요+1
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
17"
브런힐,브런치,서울 노원구 중계로8길 48,"지인들과 오랜만에 모임해야 하는데 추천 받아 왔어요. ^^ 모두 만족해 하시면서 음식도 맛있고, 뷰도 예쁘고~ 좋으시다고 하시니 좋네요. 💕다음에도 모임하러 올게요.⚘️
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
3"
송화산시도삭면,"도삭면, 딤섬",서울특별시 광진구 아차산로30길 33,주차가 조금 어렵긴하지만 넘 맛있어요 쇼마이가 엄청 튼실해서 금방 배부르네요 가지튀김은 여기보다 잘하는집은 아직 못찾았어요
대련집,"생배추보쌈, 칼국수",서울특별시 종로구 종로16길 37,아주아주 맛있어요 칼국수 국물 진하고 깔끔해요~ 재방문의사 아주아주 있어요
더형제,생선회,서울 마포구 마포대로 92,"자주 먹는 형제상회에서 하는 횟집이라 해서 점심코스 예약후 갔습니다. 룸에서 오붓하게 먹을수있어서 편했고 직원분들 전부 다 친절하셨어요. 저희 부부 잘먹는편인데도 엄청 배불렀습니다. 맛도 서비스도 양도 다 만족합니다.
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
12"
소금집 델리,"샌드위치, 잠봉뵈르",서울특별시 종로구 북촌로4길 19 1층,선드라이 잠봉뵈르 맛있고 당근라페나 감자도 맛있습니다 루벤은 조금 헤비해서 라페 없으면 물릴 것 같고 다음에는 잠봉뵈르 다른 메뉴 먹어볼 것 같아요
송화산시도삭면,"도삭면, 딤섬",서울특별시 광진구 아차산로30길 33,20분 웨이팅해서 먹었는데 새우아스파라거스가 너무 쫄깃하고 좋았다.
볼피노,이탈리아음식,서울특별시 강남구 도산대로45길 10-7 신사동 K빌딩,"본매로우파스타 빼고 전부다 맛잇엇어요! (개인적으로 본매로우는 조금 간이 셌어용)
음식이 맛있어요
이미지 수
3"
동강,중식당,서울 용산구 이촌로 182,"맛은 역시 최고이며 너무 친절하세요~ ^^
음식이 맛있어요+1
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
1"
월화식당,"육류,고기요리",서울 마포구 도화길 29,"예약하고 왔더니 종이에 문구를 서비스로 해주시네요ㅎㅎㅎㅎ 생일이나 특별한 날에 오기에 너무 좋을거 같아요! 삼겹살이랑 목살 주문했는데 너무 맛있어요~~ 다 구워주시고 김치랑 콩나물 고사리 등등 곁들임도 많아서 다양하게 먹을수 있어서 좋았습니다!! 재방문각~~
친절해요+4
개의 리뷰가 더 있습니다
펼쳐보기"
르프리크,"치킨버거, 체리토마토",서울특별시 성동구 연무장5길 9-16 블루스톤타워 B103,"소스가 없는데도 맛 밸런스가 좋았어요
혼맥하기에도 좋을것 같아요"
원조나주곰탕,"곰탕,설렁탕",서울 영등포구 버드나루로7길 7,"맛있어요! 깍두기도 김치도 국물도 고기도 ! 점심에 후루룩 한그릇하기 좋아요
음식이 맛있어요+1
개의 리뷰가 더 있습니다
펼쳐보기"
브렛피자,피자,서울 마포구 와우산로 29-8,"여자2명이서 피자 2판을 시켰어요 (결과는 아주 만족) 마르게리따 (23,000) 화이트 클램파이 (27,000) 시켰어요 마르게리따 토마토소스가 신선한 느낌? 맛있었어요. 화이트클램파이 안먹어본거라서 시켜봤는데 약간 봉골레파스타를 피자로 만들어놓은 느낌이고 고소한 도우랑 아주 잘 어울려요 ! 근데 피클 돈주고 시켜야함 ㅇㅁㅇ ... 피자는 맛있움 ~ 매장은 조금 좁음 3명까지가 딱일듯
음식이 맛있어요+1
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
4"
호지보보,"스테이크,립",서울 용산구 이태원로 140-1,"특별한 날이라 방문했어요 고기는 양고기가 특히 부드럽고 냄새도 안나고 맛있었어요 먹어보고 싶은게 많았지만 플레이트가 너무 양이 많아...포장해주셨어요 다음엔 단품메뉴로 다 맛보고 싶습니다
인테리어가 멋져요+4
개의 리뷰가 더 있습니다
펼쳐보기"
롱메,일식당,서울 광진구 긴고랑로8길 79,"평일 점심시간 살짝지나고 갔는데 만석이였고, 근데 바로 자리나서 앉을 수 있었어요 아부라소바 기본맛 존맛탱입니다...😇 안내문에 써있는 대로 반쯤먹다 식초 넣어서 먹었는데 기절... 더 맛났어요 종종 생각날거같아요 또들릴게요~~~!
혼밥하기 좋아요+4
개의 리뷰가 더 있습니다
펼쳐보기"
규반,한식,서울 중구 을지로 29,"제철음식을 맛있게 요리😋 건강한맛도 아니고 진짜 맛좋고 보기도좋은 아쉽지않은 생일저녁이었어요! 직원분도 너무 친절하시고 감사드려요
특별한 날 가기 좋아요+4
개의 리뷰가 더 있습니다
펼쳐보기"
미토우,일식당,서울특별시 강남구 도산대로70길 24 1층,"너어어어무 맛있었어요 깔끔하고 밥도 되고 반주로 술도 괜찮아요 !! 오시면 다음 방문 예약을 바로 고고 하시는걸 추천!!
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
자하손만두,만두,서울특별시 종로구 백석동길 12,"연휴의 시작은 일찍 일을 마치고 늦은 점심을 먹고자 여유롭게 조금 멀리 인왕산 부암동에 위치한 그 유명한 자하손만두의 만두국 먹으러 왔습니다 평양냉면의 슴슴함을 좋아하는 사람이라면 누구나 좋아할 맛이라는 후기가 맘에 들어 방문했습니다 양지베이스의 육향과 살짝 올라오는 매콤함 그리고 두부와 숙주 베이스의 슴슴한 만두소는 개인적으로 애정하는 진미평양냉면의 만두소와는 다른 느낌이었습니다 큰 통창으로 인왕산보면서 먹는 만두국은 봉산옥이나 압구정동 더만두국하고도 비견될만큼 맛있었네요 멀리까지 갈만한 만두국이었습니다 잘 먹었습니다
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
13"
커츠,돈가스,서울 마포구 독막로28길 58,"2024년 마지막 휴무일이라 커츠에서 맛있는 밥을 먹고 싶었어요. 아이스 아메리카노와 카츠는 언제 먹어도 정말 찰떡궁합이에요! 히레카츠를 부드럽게 튀겨내는 곳은 꽤 많지만 육향이 느껴지지 않는 경우가 많더라고요. 그런데 커츠는 부드러움도 육향도 훌륭해서 항상 대만족입니다. 이날은 밥도 유난히 찰지고 촉촉해서 좋았고, 돈지루도 더 맛있게 느껴졌어요. 배가 부른데도 불구하고 포기할 수 없었던 바닐라빈라떼는 역시나 진하고 달달하고 맛있었습니다. 밥 한 끼로 너무너무 행복해질 수 있는 곳이에요. 맛있게 잘 먹었습니다!
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
20"
사루카메,일본식라면,서울 마포구 연남로 15,"홍대역 연남동 근처에 위치한 블루리본 빕구르망 사루카메 다녀왔어요 웨이팅이 길어 미리 도착하시기 전에 원격 테이블링 예약하는 걸 추천드려요 저는 대표 메뉴인 바지락 꽃게라멘으로 주문했고 음식은 늦게 나왔어요 한정판매 하기 때문에 늦게 도착하면 주문이 어려울 수도 있습니다 카운터석 테이블과 4인석이 있어 혼밥 하기 좋은 것 같습니다 큼지막한 꽃게와 바지락이 들어 있었고 면도 두껍고 단단한 스타일이라 식감이 굉장히 좋았어요 국물도 쇼유라멘 베이스에 꽃게가 들어가 일본풍 꽃게탕 느낌도 났습니다 해산물에서 나오는 국물의 찐한 풍미가 좋았고 기존에 먹었던 라멘들과 다른 특별한 맛이 있었어요 밥과 함께 세트 메뉴로 주문하니 가격대비 양은 적당 해요 오픈 주방이라 좋았고 직원분들도 굉장히 친절하셨습니다
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
20"
대원식당,"백반,가정식",서울 용산구 한강대로62나길 16-1,"생선구이 찐 맛집! 용산-대원~ 🐟 🐟 🐟 🐟 🐟 🐟 메뉴는 딱 생선구이 백반 그리고 두루치기 백반! 끝🫢🫢 입구에서 정성스레 탄불앞에 앉아 앞뒤로 노릇노릇 생선굽는 할머님 보면 그냥 못 지나칩니다! 와~~~ 진짜 이런 노포를 만나다니~~~ 사랑이 넘치는 집밥입니다! 집밥 그잡채!🥰🥰🥰🫶🫶🫶
음식이 맛있어요+3
개의 리뷰가 더 있습니다
펼쳐보기"
다운타우너,"수제버거, 버거",서울특별시 종로구 북촌로 6-4 1층,배고파서 허겁지겁! 무난한 햄버검맛. 고구마 프라이즈가 마음에 들었다!! 그치만 이미 고구마가 달아서 물엿? 같은건 안 뿌려줘도 됐을 듯??
최사장네닭,"백숙,삼계탕",서울 마포구 연남로 4-1,"닭도리백반 시켰어요~ 개인적으로는 많이 먹지 않아서 혼자 먹기 적당했어요~ 특도 있어서 부족하면 특 시키면 될 것 같아요! 반찬도 대체로 맛있었어요~ 닭도리백반 1인분이 된다는게 행복하네요 ㅎㅎ 자리가 넓어서 혼자 먹기도, 단체로와서 먹기도 좋을 것 같아요!
음식이 맛있어요+2
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
1"
을지다락,양식,서울 중구 수표로10길 19,"대기 많을까 걱정했는데 바로 입장했고 매콤 부드러운 오므라이스 너무 맛있어요. 요즘 유튜브에서 오믈렛 만드는게 쉽지 않다는걸 알게되서 칼질할때 유심히 봤는데 한번에 챠르르~👍 직원분들도 친절하고 맛있게 잘 먹었어요^^
음식이 맛있어요+2
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
5"
전통맛집,한식,서울 중구 창경궁로7길 10,친구랑 둘이 소머리국밥주문해서 먹고 있는데 여자사장님이 테이블로 오시더니 면전에 대고 갓김치 그만먹고 소머리국밥 빨리 먹고 나가라 곧 오는 사람들이 있다 라고 하네요 내가 잘못들은건가 무슨소리지 하면서도 계속 밥을 먹었는데 또 다시 오시더니 계산서같은 수첩을 저희 테이블에 던지고 갔어요 그리고 계속 째려봅니다 그러더니 다시 수첩을 가져가요 그리고 계속 째려봅니다 오래 먹은것도 아니고 떠들면서 먹은것도 아니고 조용히 먹었는데 소머리국밥 나온지 20분만에 다음손님있다고 마지막으로 온 저희한테 그런식으로 말하는게 너무 화가 났어요 그래도 참고 결제하고 가려는데 후식으로 캔디가 있길래 4개 챙겼습니다 그랬더니 갑자기 여자사장님이 아가씨 1인당 1개만 가져가야지 하며 소리지르네요 정말 장사하는 사장님이 맞나 싶어요
태성집,소고기구이,서울 성북구 화랑로33길 38,"낮에 전화예약을 하긴했는데, 막상 도착하니 예약으로 들어갔다기 보단 그냥 자리가 나서 앉게 된 것 같네요ㅎㅎㅎ 안창살, 살치살은 꽤 두꺼웠는데도 정말 말할 필요도 없이 그냥 입에서 녹을 정도로 맛있네요!! 무생채도 소고기만 먹다보면 자칫 느끼해질 수 있는 입을 프레쉬하게 해줘서 정말 맛있게 먹었네요. 메뉴판에 없긴하지만 고기먹으면 된장찌개를 시킬수있고 꼭 드셔보셨으면 좋겠네요ㅎ 고기가 잔뜩 들어가있는 엄청난 된장찌개가 나오는 데, 밥을 말아서 된장술밥처럼 마무리하면 완벽합니다!!
음식이 맛있어요+2
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
4"
계모임,"치킨,닭강정",서울 중구 중림로 39,"먹어보고싶던 곳이에요! 콘치즈닭은 치즈가 엄청나게 늘어나구 콘은 달달해요 ㅋㅋ 다음엔 닭무침도 먹어보고싶었어요 닭은 언제나 사랑입니당♡
음식이 맛있어요+2
개의 리뷰가 더 있습니다
펼쳐보기"
야망,"치킨,닭강정",서울 마포구 동교로27길 21-8,"데이트 중에 우연히 들른 골목에 이런 맛집이 있을줄이야.. 살면서 먹어본 치킨중에 손에 꼽을 맛집입니다! 사장님이 맥주를 좋아하시는지 괴즈, 사워에일, NEIPA등 라인이 다양하구요! 맥주는 컨디션 상 못먹어서 다음에 재방문 예정입니다.. 근데 치킨은 진짜 맛있어요 얇고 바삭한 튀김옷에 육즙이 어떻게 이렇게 가둬져있는지 국물 마시듯 후루룩 먹었습니다.. 뼈가 진짜 너무 맛있거든요.. 진짜로..
아늑해요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
3"
도마 홍대본점,"육류,고기요리",서울 마포구 양화로16길 33,"저렴하고 고기 전부 다 맛있긴 했어요! 웨이팅 하는 분들 + 가게 내부 손님들 90프로 이상이 외국인이던데 신기했어요. 외부에 화장실 남녀구분 되어있었는데 제가 들어갔을 때 여자 화장실칸에서 남자외국인이 나와서 놀랐어요. 글씨를 잘... 못본 것 같기도 해요...
음식이 맛있어요
이미지 수
9"
어머니대성집,한식,서울 동대문구 왕산로11길 4,"주말 점심시간에는 웨이팅이 길어서 대기가 있는편이었습니다 주문하자마자 빠르게 메뉴가 나왔고 겉절이 스타일의 김치와 무생채가 나왔는데 달큼한 맛이 좋았어요 청양고추와 조개젓도 취향껏 같이 즐길 수 있었고 소고기는 다져서 나와 마치 참치 같은 식감이었어요 중간중간 큼지막한 건더기도 있었고 선지가 들어 있어 우거지 선지해장국 느낌이 강했습니다 선지도 푸딩처럼 탱탱했고 슴슴한듯한 국물이 맛있었습니다 국물이 아주 시원해서 해장을 하면서 술이 생각날 정도였고 양도 푸짐했어요 술을 드시는 분들은 수육을 주문해서 많이들 드셨고 해장국 말고도 육회비빔밥을 굉장히 많이 드셨습니다 맛도 굉장히 좋았지만 가격이 높은편 이었어요 이모님들도 굉장히 친절하셨습니다
혼밥하기 좋아요+4
개의 리뷰가 더 있습니다
펼쳐보기"
피자 포르짜 망원본점,피자,서울 마포구 망원로6길 57,"점심 약속으로 선택한 망원동 피자 포르짜 복숭아콩포트가 매력적인 소피아피자 화덕피자라서 담백 쫀독해요 루이보스피치티와 함께 오늘의 파스타인 포르짜파스타는 베이컨로제였어용 맛있는식사였다 눈이 예쁘게 내리는 어느날 흡족한 식사 완료💗
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
교양식사,양갈비,서울특별시 용산구 이태원로 238,"미슐랭 맛집답게 고기 육질이 넘 부드러워서 맛있게 먹었어요 한남동에서 이치류만 가봤는데 다른 느낌으로 좋네요 느낌은 좀더 캐쥬얼 해요
음식이 맛있어요+3
개의 리뷰가 더 있습니다
펼쳐보기"
남도식당,"육류,고기요리",서울 종로구 종로3길 42,"돼지연탄구이로 근사한 점심 한상 즐길 수 있는 가게. 불향 가득 품은 돼지고기 맛있다. 계란말이 꼭 추가!
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
4"
미미면가,일식당,서울특별시 강남구 강남대로160길 29,"소바 먹고 싶어서 갔는데 마즙과 성게알 소바를 먹었어요. 건강하고 괜찮더라구요. 성게알 별로이신분들은 특별하게 마즙 소바도 좋아보였어요. 우메보시는 일본매실장아찌라고해요. 간이 쎄서 호불호가 있을것 같았어요. 맛있게 잘먹었고 다음엔 또 다른메뉴도 도전해보려고요. 👍
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
11"
모수,양식,서울특별시 용산구 이태원로55가길 45,"생일 겸 회식으로 다시 재방문한 모수🤍 이제 없어진다는 이야기를 들었는데 속상해서 울음🥺 너무 맛있어요!!! https://m.blog.naver.com/taylor_is_me/223336586023 문 닫기 직전에 간 후기입니다~
음식이 맛있어요+3
개의 리뷰가 더 있습니다
펼쳐보기"
쿠촐로 서울,이탈리아음식,서울 용산구 한강대로 100,"매콤한 파스타지만 맵지 않으니 너무 맵진 않을까 고민하지 말고 시키면 됩니다. 립아이 800g은 2인 기준으로 양이 조금 많을 수도 있으니 다른 메뉴를 같이 시키기보단 립아이 단독으로 시켜보시고 양이 모자라다 싶으면 추가 주문 고고! 맛있었고 아늑하고 대화하기도 좋아요 ☺️
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
